data,data de último acesso,id,turmaTrilha,atividadesFeitas,atividadesCorretas,atividadesGerais
2021-12-06,2021-12-07,567596,11400811,50.0,43.0,186.0
2021-12-06,2021-12-09,736867,1674905,43.0,43.0,184.0
2021-12-06,2021-12-11,737541,1667042,44.0,43.0,245.0
2021-12-06,2021-12-10,602004,21405831,43.0,43.0,166.0
2021-12-06,2021-12-10,729673,12900201,43.0,42.0,134.0
2021-12-06,2021-12-06,728362,1663853,52.0,42.0,197.0
2021-12-06,2021-12-14,897835,25900301,43.0,42.0,251.0
2021-12-06,2021-12-09,732202,1667737,47.0,42.0,212.0
2021-12-06,2021-12-10,728410,1667026,49.0,42.0,175.0
2021-12-06,2021-12-10,610852,25402131,46.0,42.0,117.0
2021-12-06,2021-12-12,729537,1667717,44.0,42.0,169.0
2021-12-06,2021-12-10,736658,1667066,50.0,41.0,234.0
2021-12-06,2021-12-13,593262,12403931,42.0,41.0,127.0
2021-12-06,2021-12-13,579566,12403011,50.0,41.0,174.0
2021-12-06,2021-12-06,599342,21402531,48.0,41.0,146.0
2021-12-06,2021-12-14,602667,21407131,42.0,41.0,125.0
2021-12-06,2021-12-10,894273,1667833,51.0,41.0,149.0
2021-12-06,2021-12-13,588403,11405131,43.0,41.0,140.0
2021-12-06,2021-12-08,591999,12409531,42.0,41.0,165.0
2021-12-06,2021-12-09,572185,11407311,42.0,41.0,146.0
2021-12-06,2021-12-11,573411,11408911,41.0,40.0,133.0
2021-12-06,2021-12-14,569544,11402811,44.0,40.0,224.0
2021-12-06,2021-12-07,725169,1694210,46.0,40.0,160.0
2021-12-06,2021-12-07,724683,1690524,43.0,40.0,153.0
2021-12-06,2021-12-10,894264,1667814,42.0,40.0,202.0
2021-12-06,2021-12-06,733553,1674923,46.0,40.0,183.0
2021-12-06,2021-12-09,596823,12409431,40.0,40.0,143.0
2021-12-06,2021-12-08,898328,22900401,40.0,40.0,116.0
2021-12-06,2021-12-13,519007,24401131,40.0,40.0,157.0
2021-12-06,2021-12-07,737832,1686434,55.0,40.0,220.0
2021-12-06,2021-12-13,568913,11402611,46.0,40.0,159.0
2021-12-06,2021-12-09,728976,1667712,40.0,40.0,110.0
2021-12-06,2021-12-10,736178,1655791,42.0,40.0,173.0
2021-12-06,2021-12-14,733758,1671547,48.0,40.0,200.0
2021-12-06,2021-12-10,726067,1690507,45.0,40.0,183.0
2021-12-06,2021-12-09,594653,12407731,50.0,39.0,208.0
2021-12-06,2021-12-09,735550,1662363,102.0,39.0,374.0
2021-12-06,2021-12-10,732346,1667066,46.0,39.0,199.0
2021-12-06,2021-12-13,733875,1667814,39.0,39.0,172.0
2021-12-06,2021-12-14,568711,11403211,40.0,39.0,174.0
2021-12-06,2021-12-13,834928,12405131,39.0,39.0,169.0
2021-12-06,2021-12-13,596634,12409931,40.0,39.0,172.0
2021-12-06,2021-12-13,844420,12409631,39.0,39.0,183.0
2021-12-06,2021-12-08,732268,1665725,48.0,38.0,221.0
2021-12-06,2021-12-08,596391,12410731,44.0,38.0,157.0
